date,name,address,staff,nonstaff,deaths
Mon May 11 2020 18:30:24 GMT-0700 (Pacific Daylight Time),"Anthony Inc","12391 Montero Ave, Sylmar, CA, 91342",1,16
Mon May 11 2020 18:30:24 GMT-0700 (Pacific Daylight Time),"Bocchi Laboratory","26455 Ruether Ave, Santa Clarita, CA, 91350",7,0
Mon May 11 2020 18:30:24 GMT-0700 (Pacific Daylight Time),"Fresh And Ready Foods","1145 Arroyo St Unit B, San Fernando, CA, 91340",15,0
Mon May 11 2020 18:30:24 GMT-0700 (Pacific Daylight Time),"Mission Food","14200 Arminta St, Panorama City, CA, 91402",10,0
Mon May 11 2020 18:30:24 GMT-0700 (Pacific Daylight Time),"Northgate Gonzalez Markets","10801 S Prairie Ave, Inglewood, CA, 90303",13,0
Mon May 11 2020 18:30:24 GMT-0700 (Pacific Daylight Time),"Principles Inc, Los Angeles Outpatient Center","3217 N Eastern Ave, Los Angeles, CA, 90032",8,0
Mon May 11 2020 18:30:24 GMT-0700 (Pacific Daylight Time),"Ralphs Hollywood","7257 W Sunset Blvd, Los Angeles, CA, 90046",21,0
Mon May 11 2020 18:30:24 GMT-0700 (Pacific Daylight Time),"Skid Row Community Refresh Spot","557 Crocker St, Los Angeles, CA, 90013",4,1
Mon May 11 2020 18:30:24 GMT-0700 (Pacific Daylight Time),"Vons Glendale","311 W Los Feliz Rd, Glendale, CA, 91204",7,0
Mon May 11 2020 18:30:24 GMT-0700 (Pacific Daylight Time),"Walmart Supercenter","1275 N Azusa Ave, Covina, CA, 91722",8,0
Mon May 11 2020 18:30:24 GMT-0700 (Pacific Daylight Time),"Western General Insurance Company","5230 Las Virgenes Rd, Calabasas, CA, 91302",14,1
Mon May 11 2020 18:30:24 GMT-0700 (Pacific Daylight Time),"Bristol Farms","9039 Beverly Blvd, West Hollywood, CA, 90048",5,0
Mon May 11 2020 18:30:24 GMT-0700 (Pacific Daylight Time),"Domino's Pizza","3631 Crenshaw Blvd Ste 113, Los Angeles, CA, 90016",6,1
Wed May 13 2020 17:18:47 GMT-0700 (Pacific Daylight Time),"Penny Lane Centers","5628 E Slauson Ave, Commerce, CA, 90040",4,4
Wed May 13 2020 17:18:47 GMT-0700 (Pacific Daylight Time),"Bristol Farms","9039 Beverly Blvd, West Hollywood, CA, 90048",6,0
Wed May 13 2020 17:18:47 GMT-0700 (Pacific Daylight Time),"Ahmanson Recruit Training Center *","5651 W Manchester Ave, Los Angeles, CA, 90045",1,0
Wed May 13 2020 22:49:43 GMT-0700 (Pacific Daylight Time),"Sunrise At Sterling Canyon","25815 McBean Pkwy, Santa Clarita, CA, 91355",1,0
Fri May 15 2020 09:49:37 GMT-0700 (Pacific Daylight Time),"Domino's Pizza","3631 Crenshaw Blvd Ste 113, Los Angeles, CA, 90016",4,2
Fri May 15 2020 09:49:37 GMT-0700 (Pacific Daylight Time),"Ahmanson Recruit Training Center * ","5651 W Manchester Ave, Los Angeles, CA, 90045",1,0
Fri May 15 2020 21:11:12 GMT-0700 (Pacific Daylight Time),"Ahmanson Recruit Training Center*","5651 W Manchester Ave, Los Angeles, CA, 90045",1,0
Fri May 15 2020 21:11:12 GMT-0700 (Pacific Daylight Time),"Lac DPSS Florence Office","1740 E Gage Ave, Los Angeles, CA, 90001",6,0
